,Mkt-RF,SMB,HML,RF
20150724,-1.08,-0.61,-0.02,0
20150727,-0.74,-0.25,0.08,0
20150728,1.23,-0.34,-0.11,0
20150729,0.74,-0.36,0.52,0
20150730,0.12,0.17,-0.26,0
20150731,-0.15,0.82,-0.99,0
20150803,-0.35,-0.33,-0.17,0
20150804,-0.14,0.09,-0.19,0
20150805,0.36,0.01,-0.44,0
20150806,-0.88,-0.53,1.99,0
20150807,-0.36,-0.46,-0.35,0
20150810,1.32,0.16,0.69,0
20150811,-0.98,-0.09,0.43,0
20150812,0.07,-0.09,-0.27,0
20150813,-0.14,-0.43,0.01,0
20150814,0.43,0.13,0.44,0
20150817,0.6,0.44,-0.87,0
20150818,-0.35,-0.64,0.34,0
20150819,-0.85,-0.12,-0.22,0
20150820,-2.24,-0.28,0.6,0
20150821,-2.95,1.82,0.14,0
20150824,-3.9,0.34,-0.43,0
20150825,-1.17,0.69,-0.61,0
20150826,3.68,-1.35,-0.37,0
20150827,2.4,-0.67,0.62,0
20150828,0.23,0.98,0.08,0
20150831,-0.74,0.77,1.42,0
20150901,-2.91,0.32,-0.51,0
20150902,1.81,-0.16,-0.92,0
20150903,0.17,-0.32,0.72,0
20150904,-1.39,0.89,-0.57,0
20150908,2.52,-0.36,-0.55,0
20150909,-1.34,0.16,0.11,0
20150910,0.49,-0.13,-0.31,0
20150911,0.44,-0.2,-0.7,0
20150914,-0.41,0.03,0.01,0
20150915,1.22,-0.18,0.25,0
20150916,0.84,0.01,0.44,0
20150917,-0.17,0.89,-1.5,0
20150918,-1.62,0.46,-0.96,0
20150921,0.36,-0.94,1.21,0
20150922,-1.29,-0.27,0.14,0
20150923,-0.27,-0.17,-0.14,0
20150924,-0.36,0.25,0.56,0
20150925,-0.22,-1.65,1.88,0
20150928,-2.63,-0.27,1.17,0
20150929,-0.07,-0.72,0.71,0
20150930,1.88,-0.43,-0.48,0
20151001,0.13,-0.45,-0.05,0
20151002,1.48,0.34,-0.84,0
20151005,1.93,0.62,0.77,0
20151006,-0.43,-0.23,1.72,0
20151007,0.94,0.7,-0.24,0
20151008,0.84,0.24,0.76,0
20151009,0.12,0.21,-1.08,0
20151012,0.06,-0.4,-0.07,0
20151013,-0.74,-0.73,0.69,0
20151014,-0.6,-0.26,-0.02,0
20151015,1.56,0.66,-0.15,0
20151016,0.36,-0.49,-0.35,0
20151019,0,0.16,-0.71,0
20151020,-0.15,0.02,1.21,0
20151021,-0.74,-0.87,-0.18,0
20151022,1.5,-0.78,0.47,0
20151023,1.09,-0.01,-0.6,0
20151026,-0.2,-0.36,-0.72,0
20151027,-0.42,-0.87,-0.88,0
20151028,1.43,1.41,0.64,0
20151029,-0.2,-0.89,0.09,0
20151030,-0.41,0.23,-0.54,0
20151102,1.25,0.85,-0.02,0
20151103,0.32,0.44,0.21,0
20151104,-0.26,0.34,-0.33,0
20151105,-0.08,0.03,0.45,0
20151106,0.14,0.82,0.29,0
20151109,-0.95,-0.21,-0.05,0
20151110,0.13,-0.01,0.26,0
20151111,-0.43,-0.52,-0.18,0
20151112,-1.45,-0.51,-0.45,0
20151113,-1.06,0.3,0.38,0
20151116,1.39,-0.57,0.46,0
20151117,-0.11,-0.12,-0.66,0
20151118,1.61,0,-0.08,0
20151119,-0.13,-0.26,-0.11,0
20151120,0.35,0.43,-0.41,0
20151123,-0.01,0.66,-0.36,0
20151124,0.21,0.7,0.27,0
20151125,0.09,0.87,-0.55,0
20151127,0.09,0.22,-0.29,0
20151130,-0.47,0.14,0.69,0
20151201,0.97,-0.66,0.25,0
20151202,-1.01,0.25,-0.7,0
20151203,-1.5,-0.21,0.44,0
20151204,1.86,-1.04,-0.52,0
20151207,-0.84,-0.86,-0.66,0
20151208,-0.59,0.48,-1.23,0
20151209,-0.83,-0.33,0.41,0
20151210,0.3,0.11,-0.22,0
20151211,-2.03,-0.22,-0.06,0
20151214,0.29,-1.05,-0.19,0
20151215,1.1,0.03,0.76,0
20151216,1.47,0.01,-0.64,0
20151217,-1.46,0.38,-0.31,0
20151218,-1.7,0.76,-0.39,0
20151221,0.74,-0.17,-0.05,0
20151222,0.89,-0.04,0.51,0
20151223,1.3,0.13,0.59,0
20151224,-0.11,0.3,-0.03,0
20151228,-0.29,-0.48,-0.38,0
20151229,1.05,0.09,-0.31,0
20151230,-0.74,-0.17,-0.13,0
20151231,-0.92,-0.24,0.24,0
20160104,-1.59,-0.83,0.53,0
20160105,0.12,-0.22,0,0
20160106,-1.35,-0.13,-0.01,0
20160107,-2.44,-0.29,0.08,0
20160108,-1.11,-0.47,-0.03,0
20160111,-0.06,-0.65,0.34,0
20160112,0.71,-0.4,-0.77,0
20160113,-2.67,-0.7,0.78,0
20160114,1.65,-0.01,-0.41,0
20160115,-2.14,0.42,-0.21,0
20160119,-0.2,-1.34,-0.07,0
20160120,-0.94,1.86,-1.24,0
20160121,0.45,-0.49,0.01,0
20160122,2.08,0.22,-0.19,0
20160125,-1.71,-0.36,-0.98,0
20160126,1.52,0.38,1.22,0
20160127,-1.11,-0.54,1.72,0
20160128,0.49,-0.47,1.27,0
20160129,2.57,0.47,0.37,0
20160201,-0.04,-0.21,-0.95,0.001
20160202,-2,-0.03,-0.34,0.001
20160203,0.46,-0.32,0.44,0.001
20160204,0.27,0.21,0.33,0.001
20160205,-2.06,-1.11,1.75,0.001
20160208,-1.51,-0.03,0.89,0.001
20160209,-0.1,-0.47,-0.29,0.001
20160210,0.01,-0.05,-0.56,0.001
20160211,-1.17,0.5,-1.48,0.001
20160212,1.98,-0.54,1.15,0.001
20160216,1.78,0.55,-0.55,0.001
20160217,1.75,-0.05,-0.63,0.001
20160218,-0.51,-0.01,0.21,0.001
20160219,0.06,0.43,-0.62,0.001
20160222,1.43,-0.26,0.24,0.001
20160223,-1.22,0.47,-0.52,0.001
20160224,0.53,0.68,-0.32,0.001
20160225,1.1,-0.43,0.23,0.001
20160226,-0.01,0.8,0.26,0.001
20160229,-0.69,0.66,0.26,0.001
20160301,2.34,-0.63,0.3,0.001
20160302,0.54,0.5,0.71,0.001
20160303,0.51,0.44,0.65,0.001
20160304,0.37,0.28,0.29,0.001
20160307,0.21,1.21,0.54,0.001
20160308,-1.27,-1.15,-0.49,0.001
20160309,0.5,0.04,0.38,0.001
20160310,-0.11,-0.81,0.63,0.001
20160311,1.69,0.27,0.19,0.001
20160314,-0.12,-0.07,-0.87,0.001
20160315,-0.36,-1.43,0.67,0.001
20160316,0.63,0.1,-0.04,0.001
20160317,0.72,0.84,0.58,0.001
20160318,0.54,0.34,-0.19,0.001
20160321,0.1,-0.2,-0.31,0.001
20160322,-0.05,-0.01,-0.44,0.001
20160323,-0.86,-1.17,-0.09,0.001
20160324,0,0.47,-0.06,0.001
20160328,0.04,-0.03,0.14,0.001
20160329,1.07,1.77,-1.18,0.001
20160330,0.41,-0.28,0.15,0.001
20160331,-0.11,0.44,-0.48,0.001
20160401,0.64,-0.25,-0.62,0
20160404,-0.41,-0.25,-0.74,0
20160405,-0.94,-0.08,-0.36,0
20160406,1.14,0.17,-0.82,0
20160407,-1.23,-0.05,-0.35,0
